Date,Bitcoin_Price,ahr999,Cash_Holdings,Bitcoin_Quantity,Action,Operation_Amount,Portfolio_Value
2024-05-03,62840.2,1.084,40847.4,0.00666,Buy,92.2,41265.6
2024-05-04,63940.5,1.117,40947.4,0.00666,Hold,0.0,41372.9
2024-05-05,63993.8,1.113,41047.4,0.00666,Hold,0.0,41473.3
2024-05-06,63133.5,1.078,41047.4,0.00812,Buy,92.8,41560.3
2024-05-07,62281.2,1.044,41047.4,0.00966,Buy,95.8,41649.2
2024-05-08,61113.8,1.001,41047.4,0.0113,Buy,99.9,41737.8
2024-05-09,63057.3,1.06,41047.4,0.01279,Buy,94.3,41854.1
2024-05-10,60787.1,0.981,41047.4,0.01447,Buy,101.9,41926.9
2024-05-11,60787.9,0.978,41047.4,0.01615,Buy,102.3,42029.2
2024-05-12,61483.5,0.996,41047.4,0.01778,Buy,100.4,42140.8
2024-05-13,62901.0,1.038,41047.4,0.01932,Buy,96.3,42262.4
2024-05-14,61556.8,0.99,41047.4,0.02096,Buy,101.0,42337.4
2024-05-15,66229.0,1.142,41147.4,0.02096,Hold,0.0,42535.3
2024-05-16,65214.8,1.102,41247.4,0.02096,Hold,0.0,42614.0
2024-05-17,66978.0,1.158,41347.4,0.02096,Hold,0.0,42751.0
2024-05-18,66917.8,1.15,41447.4,0.02096,Hold,0.0,42849.7
2024-05-19,66237.2,1.122,41547.4,0.02096,Hold,0.0,42935.4
2024-05-20,71529.0,1.303,41647.4,0.02096,Hold,0.0,43146.3
2024-05-21,70191.2,1.249,41747.4,0.02096,Hold,0.0,43218.3
2024-05-22,69252.9,1.21,41847.4,0.02096,Hold,0.0,43298.6
2024-05-23,67986.4,1.162,41947.4,0.02096,Hold,0.0,43372.1
2024-05-24,68597.0,1.177,42047.4,0.02096,Hold,0.0,43484.9
2024-05-25,69336.9,1.198,42147.4,0.02096,Hold,0.0,43600.4
2024-05-26,68531.9,1.165,42247.4,0.02096,Hold,0.0,43683.5
2024-05-27,69450.5,1.191,42347.4,0.02096,Hold,0.0,43802.8
2024-05-28,68470.5,1.153,42447.4,0.02096,Hold,0.0,43882.2
2024-05-29,67671.0,1.122,42547.4,0.02096,Hold,0.0,43965.5
2024-05-30,68418.9,1.142,42647.4,0.02096,Hold,0.0,44081.2
2024-05-31,67601.7,1.11,42747.4,0.02096,Hold,0.0,44164.0
2024-06-01,67798.9,1.112,42847.4,0.02096,Hold,0.0,44268.2
2024-06-02,67801.0,1.108,42947.4,0.02096,Hold,0.0,44368.2
2024-06-03,68864.9,1.138,43047.4,0.02096,Hold,0.0,44490.5
2024-06-04,70628.0,1.192,43147.4,0.02096,Hold,0.0,44627.4
2024-06-05,71162.5,1.205,43247.4,0.02096,Hold,0.0,44738.6
2024-06-06,70831.7,1.188,43347.4,0.02096,Hold,0.0,44831.7
2024-06-07,69320.2,1.134,43447.4,0.02096,Hold,0.0,44900.0
2024-06-08,69344.0,1.129,43547.4,0.02096,Hold,0.0,45000.5
2024-06-09,69683.8,1.136,43647.4,0.02096,Hold,0.0,45107.7
2024-06-10,69557.9,1.127,43747.4,0.02096,Hold,0.0,45205.0
2024-06-11,67303.8,1.051,43747.4,0.02237,Buy,95.1,45252.9
2024-06-12,68293.6,1.078,43747.4,0.02373,Buy,92.8,45367.8
2024-06-13,66804.0,1.027,43747.4,0.02518,Buy,97.3,45429.8
2024-06-14,66038.5,1.0,43747.4,0.0267,Buy,100.0,45510.6
2024-06-15,66199.3,1.001,43747.4,0.02821,Buy,99.9,45614.8
2024-06-16,66648.1,1.011,43747.4,0.02969,Buy,98.9,45726.4
2024-06-17,66481.9,1.002,43747.4,0.03119,Buy,99.8,45821.2
2024-06-18,65141.7,0.958,43747.4,0.0328,Buy,104.4,45883.8
2024-06-19,64939.4,0.949,43747.4,0.03442,Buy,105.4,45982.5
2024-06-20,64852.1,0.943,43747.4,0.03605,Buy,106.0,46085.5
2024-06-21,64126.5,0.919,43747.4,0.03775,Buy,108.8,46168.2
2024-06-22,64252.5,0.92,43747.4,0.03944,Buy,108.7,46281.6
2024-06-23,63152.0,0.886,43747.4,0.04123,Buy,112.8,46351.0
2024-06-24,60263.4,0.805,43747.4,0.04329,Buy,124.2,46356.1
2024-06-25,61784.8,0.844,43747.4,0.04521,Buy,118.5,46540.5
2024-06-26,60867.0,0.817,43747.4,0.04722,Buy,122.4,46621.4
2024-06-27,61669.3,0.836,43747.4,0.04916,Buy,119.6,46778.9
2024-06-28,60439.0,0.801,43747.4,0.05122,Buy,124.9,46843.3
2024-06-29,60982.5,0.813,43747.4,0.05324,Buy,123.0,46994.2
2024-06-30,62802.5,0.86,43747.4,0.05509,Buy,116.3,47207.4
2024-07-01,62874.4,0.859,43747.4,0.05694,Buy,116.4,47327.8
2024-07-02,62113.5,0.836,43747.4,0.05887,Buy,119.6,47404.1
2024-07-03,60225.9,0.784,43747.4,0.06099,Buy,127.6,47420.6
2024-07-04,57030.3,0.701,43747.4,0.06349,Buy,142.7,47368.4
2024-07-05,56598.1,0.689,43747.4,0.06606,Buy,145.2,47486.1
2024-07-06,58248.3,0.727,43747.4,0.06842,Buy,137.5,47732.6
2024-07-07,55844.2,0.667,43747.4,0.0711,Buy,149.9,47718.0
2024-07-08,56679.8,0.686,43747.4,0.07368,Buy,145.9,47923.3
2024-07-09,58002.1,0.716,43747.4,0.07608,Buy,139.6,48160.3
2024-07-10,57685.0,0.707,43747.4,0.07854,Buy,141.5,48277.7
2024-07-11,57315.4,0.696,43747.4,0.08104,Buy,143.7,48392.4
2024-07-12,57894.4,0.708,43747.4,0.08348,Buy,141.2,48580.5
2024-07-13,59192.0,0.738,43747.4,0.08577,Buy,135.4,48824.2
2024-07-14,60783.8,0.777,43747.4,0.08789,Buy,128.7,49089.5
2024-07-15,64695.2,0.877,43747.4,0.08965,Buy,114.0,49547.2
2024-07-16,65013.1,0.883,43747.4,0.09139,Buy,113.3,49689.0
2024-07-17,64062.8,0.855,43747.4,0.09322,Buy,117.0,49719.2
2024-07-18,63931.0,0.848,43747.4,0.09506,Buy,117.9,49824.7
2024-07-19,66667.2,0.92,43747.4,0.09669,Buy,108.7,50193.6
2024-07-20,67127.0,0.93,43747.4,0.09829,Buy,107.6,50345.6
2024-07-21,68160.0,0.955,43747.4,0.09983,Buy,104.7,50551.8
2024-07-22,67477.0,0.933,43747.4,0.10142,Buy,107.1,50590.7
2024-07-23,65935.4,0.888,43747.4,0.10312,Buy,112.5,50546.9
2024-07-24,65344.3,0.87,43747.4,0.10488,Buy,114.9,50600.9
2024-07-25,65788.4,0.879,43747.4,0.10661,Buy,113.7,50761.3
2024-07-26,67896.0,0.934,43747.4,0.10819,Buy,107.1,51093.0
2024-07-27,67821.2,0.929,43747.4,0.10978,Buy,107.7,51192.6
2024-07-28,68219.8,0.937,43747.4,0.11134,Buy,106.7,51343.1
2024-07-29,66751.2,0.895,43747.4,0.11302,Buy,111.8,51291.3
2024-07-30,66154.1,0.876,43747.4,0.11474,Buy,114.2,51338.0
2024-07-31,64590.0,0.832,43747.4,0.1166,Buy,120.1,51278.7
2024-08-01,65354.9,0.85,43747.4,0.1184,Buy,117.7,51485.6
2024-08-02,61423.1,0.748,43747.4,0.12058,Buy,133.7,51153.7
2024-08-03,60666.4,0.728,43747.4,0.12284,Buy,137.4,51199.9
2024-08-04,58114.0,0.666,43747.4,0.12543,Buy,150.1,51036.4
2024-08-05,53971.1,0.573,13124.2,0.69606,DipBuy,30623.2,50691.2
2024-08-06,55990.4,0.615,13124.2,0.69896,Buy,162.5,52259.3
2024-08-07,55098.0,0.594,3937.3,0.86875,DipBuy,9187.0,51803.7
2024-08-08,61707.6,0.744,3937.3,0.87093,Buy,134.5,57680.3
2024-08-09,60790.2,0.719,3937.3,0.87322,Buy,139.0,57020.3
2024-08-10,60897.8,0.72,3937.3,0.8755,Buy,139.0,57253.3
2024-08-11,58660.0,0.666,3937.3,0.87806,Buy,150.2,55444.3
2024-08-12,59315.2,0.679,3937.3,0.88055,Buy,147.4,56167.0
2024-08-13,60554.0,0.705,3937.3,0.88289,Buy,141.8,57399.6
2024-08-14,60554.0,0.705,3937.3,0.88523,Buy,141.8,57541.4
2024-08-15,58677.7,0.66,3937.3,0.88781,Buy,151.4,56031.9
2024-08-16,57508.5,0.633,3937.3,0.89056,Buy,158.1,55151.9
2024-08-17,58854.8,0.661,3937.3,0.89313,Buy,151.3,56502.1
2024-08-18,59471.8,0.673,3937.3,0.89563,Buy,148.6,57201.8
2024-08-19,58388.7,0.647,3937.3,0.89827,Buy,154.5,56386.3
2024-08-20,59410.0,0.668,3937.3,0.90079,Buy,149.7,57453.3
2024-08-21,58992.1,0.657,3937.3,0.90337,Buy,152.2,57229.1
2024-08-22,61143.9,0.704,3937.3,0.90569,Buy,142.0,59315.0
2024-08-23,60348.4,0.684,3937.3,0.90812,Buy,146.2,58740.7
2024-08-24,64046.6,0.768,3937.3,0.91015,Buy,130.2,62229.3
2024-08-25,64126.3,0.768,3937.3,0.91218,Buy,130.3,62432.2
2024-08-26,64250.6,0.768,3937.3,0.91421,Buy,130.2,62675.7
2024-08-27,62803.0,0.732,3937.3,0.91638,Buy,136.6,61488.9
2024-08-28,59331.1,0.652,3937.3,0.91897,Buy,153.4,58460.7
2024-08-29,58994.8,0.643,3937.3,0.9216,Buy,155.4,58307.1
2024-08-30,59331.9,0.649,3937.3,0.9242,Buy,154.0,58771.8
2024-08-31,59090.1,0.643,3937.3,0.92683,Buy,155.6,58703.9
2024-09-01,58933.4,0.638,3937.3,0.92949,Buy,156.7,58715.3
2024-09-02,57260.1,0.602,3937.3,0.93239,Buy,166.2,57326.2
2024-09-03,59109.5,0.64,3937.3,0.93504,Buy,156.2,59206.8
2024-09-04,57481.9,0.604,3937.3,0.93792,Buy,165.5,57850.5
2024-09-05,57967.1,0.614,3937.3,0.94073,Buy,163.0,58468.5
